step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
87,6.446069,0.018806,639.185000,3.805253,160.945000,3.217976,99.870000,2.124399,607.710000,4.694420,10.695000,1.857664,597.015000,4.436594,11.730403,0.114454,5.858921,0.021548,6.102124,0.026814,6.203521,0.052659,9.120175,0.098913
88,6.441363,0.018643,635.445000,4.080855,163.390000,3.713950,101.165000,2.148411,607.720000,4.824088,11.795000,1.901981,595.925000,4.464452,11.719389,0.123908,5.854916,0.020840,6.111180,0.025911,6.173078,0.051679,9.011576,0.085569
89,6.450405,0.019555,640.055000,3.811491,157.240000,3.282832,102.705000,1.988105,610.775000,4.499244,10.985000,1.953858,599.790000,4.033652,11.738347,0.113310,5.862856,0.020527,6.113569,0.025836,6.219478,0.053548,8.971763,0.088119
90,6.440598,0.020474,637.175000,4.172884,160.620000,3.627831,102.205000,2.127758,610.815000,5.070995,12.930000,2.195022,597.885000,4.221333,11.719813,0.120059,5.854018,0.020737,6.107702,0.028785,6.165236,0.053536,9.029318,0.096548
91,6.437292,0.019146,633.925000,3.986193,163.455000,3.570609,102.620000,2.196343,607.550000,5.043830,11.485000,1.956351,596.065000,4.705622,11.717433,0.113480,5.850609,0.022702,6.107268,0.027389,6.150084,0.053157,9.010300,0.092674
92,6.454877,0.021228,638.275000,4.276936,161.690000,3.913454,100.035000,2.215282,607.730000,4.671461,12.330000,2.092113,595.400000,4.322352,11.763662,0.123701,5.865012,0.022231,6.119523,0.028887,6.165607,0.054808,9.142825,0.095882
93,6.434201,0.019672,636.445000,4.308410,161.760000,3.805333,101.795000,2.073399,607.510000,4.790292,11.580000,1.922980,595.930000,4.440009,11.665799,0.113511,5.852912,0.021414,6.098799,0.027058,6.170720,0.052645,9.008619,0.090880
94,6.437450,0.020478,635.390000,4.106745,164.360000,3.663244,100.250000,2.117684,609.865000,4.705717,12.445000,2.104514,597.420000,4.318450,11.613358,0.122221,5.862349,0.020694,6.099157,0.025938,6.150067,0.059715,9.123337,0.090017
95,6.434033,0.022169,636.690000,4.424676,160.770000,3.762209,102.540000,2.200789,610.310000,5.214099,12.590000,2.099485,597.720000,4.883962,11.690084,0.130401,5.850028,0.023410,6.089737,0.029249,6.202083,0.057230,9.004913,0.094810
96,6.440251,0.020808,635.235000,3.891109,163.580000,3.552385,101.185000,2.050968,605.980000,5.362661,12.710000,2.105151,593.270000,4.879682,11.745999,0.119066,5.850723,0.022785,6.090720,0.030118,6.185867,0.056762,9.091995,0.091983
97,6.445298,0.018404,633.715000,4.171031,164.565000,3.656348,101.720000,2.000513,608.260000,4.939616,11.715000,1.998834,596.545000,4.574079,11.724186,0.127308,5.858755,0.020370,6.104242,0.024984,6.193007,0.057270,9.033889,0.083796
98,6.436057,0.021649,637.205000,4.726380,162.935000,4.151052,99.860000,2.050684,607.255000,4.964249,10.000000,1.864551,597.255000,4.650842,11.754004,0.115830,5.845174,0.022885,6.099378,0.030346,6.147220,0.055737,9.132772,0.087652
99,6.437188,0.021216,638.070000,3.868807,160.315000,3.410013,101.615000,2.123280,609.635000,5.004030,12.220000,2.100909,597.415000,4.555249,11.680430,0.132722,5.854606,0.022802,6.104689,0.028761,6.169913,0.060472,9.020000,0.083009
100,6.445075,0.020690,635.570000,4.082411,162.025000,3.465741,102.405000,2.139601,606.940000,4.704567,9.735000,1.727200,597.205000,4.590541,11.779725,0.116328,5.852336,0.021456,6.112574,0.027504,6.161911,0.055616,9.041601,0.096318
